FED_NUM,NID,FEDNUM,ENNAME,FRNAME,PROVCODE,CREADT,REVDT,REPORDER,DECPOPCNT,QUIPOPCNT,ENLEGALDSC,FRLEGALDSC,WINPARTY,WINPCT,WINVOTES,TOTALVOTES,BQ,CON,GREEN,IND,LIB,NDP,PPC,OTHER
"24025",{042D5699-FD0B-4524-BEC8-F0C978BB0C2B},"24025",Drummond,Drummond,QC,"20131005",,"2013","98681","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24025&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24025&lang=f#descrip,BQ,"44.823434990000003","24574","54824","24574","9083","1856","0","9552","8716","525","518"
"24024",{091A4423-615E-4AFB-985D-D6FFC788735B},"24024",Dorval--Lachine--LaSalle,Dorval--Lachine--LaSalle,QC,"20131005","20140619","2013","106886","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24024&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24024&lang=f#descrip,LIB,"52.917792059999996","27821","52574","8974","5543","2898","0","27821","6207","528","603"
"24023",{05F8541F-CD56-4523-9707-BF28E6DB663B},"24023",Compton--Stanstead,Compton--Stanstead,QC,"20131005",,"2013","101946","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24023&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24023&lang=f#descrip,LIB,"37.314765530000003","21731","58237","18571","8446","3044","0","21731","5607","586","252"
"24022",{400EF08D-8993-4CBC-9325-E17985E20D6E},"24022",Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,QC,"20131005","20140619","2013","81501","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24022&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24022&lang=f#descrip,CON,"36.815478229999997","16155","43881","15321","16155","1388","0","7504","2855","359","299"
"24021",{30BC4AFF-9804-4219-A4BB-E70A1F129476},"24021",Châteauguay--Lacolle,Châteauguay--Lacolle,QC,"20131005",,"2013","92169","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24021&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24021&lang=f#descrip,LIB,"38.391664440000000","20118","52402","19479","5851","1929","0","20118","4005","563","457"
"24020",{57ABE396-D834-4AC5-81BE-C965E583A4C6},"24020",Beauport--Côte-de-Beaupré--Île d’Orléans--Charlevoix,Beauport--Côte-de-Beaupré--Île d’Orléans--Charlevoix,QC,"20131005","20140619","2013","92496","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24020&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24020&lang=f#descrip,BQ,"36.352325469999997","18407","50635","18407","15044","1355","0","10608","2841","1045","1335"
"24019",{4EA9158D-8269-42E5-9B12-B1EA39EF2A92},"24019",Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,QC,"20131005",,"2013","103331","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24019&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24019&lang=f#descrip,CON,"38.046568299999997","22484","59096","16053","22484","2042","0","12584","4554","1379","0"
"24018",{0A31B4B1-7972-4A54-B82B-FE063041534D},"24018",Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,QC,"20131005","20140619","2013","84809","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24018&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24018&lang=f#descrip,BQ,"37.830751409999998","17314","45767","17314","4073","824","0","10095","13050","232","179"
"24017",{0C426B17-CDCD-401A-956A-4D29E22B1E09},"24017",Brossard--Saint-Lambert,Brossard--Saint-Lambert,QC,"20131005",,"2013","100828","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24017&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24017&lang=f#descrip,LIB,"53.902774839999999","30537","56652","11131","6112","2935","0","30537","5410","527","0"
"24016",{19AECA7D-7860-4DE3-8257-DC6CAD51D489},"24016",Brome--Missisquoi,Brome--Missisquoi,QC,"20131005",,"2013","98616","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24016&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24016&lang=f#descrip,LIB,"38.166696510000001","23450","61441","21152","7697","3302","0","23450","4887","456","497"
"24015",{644A53FD-09EC-43E3-9156-BC79B0657A30},"24015",Bourassa,Bourassa,QC,"20131005",,"2013","100286","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24015&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24015&lang=f#descrip,LIB,"57.572303040000001","23231","40351","9043","2899","1343","212","23231","3204","347","72"
"24014",{1711BCE7-E928-41B4-B6ED-22466EC2923E},"24014",Pierre-Boucher--Les Patriotes--Verchères,Pierre-Boucher--Les Patriotes--Verchères,QC,"20131005","20140619","2013","95326","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24014&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24014&lang=f#descrip,BQ,"51.015909049999998","31009","60783","31009","4910","2955","0","17333","4192","384","0"
"24013",{BF246EF7-4729-45BD-8013-362A452911CB},"24013",Thérèse-De Blainville,Thérèse-De Blainville,QC,"20131005","20140619","2013","98499","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24013&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24013&lang=f#descrip,BQ,"41.821380380000001","24486","58549","24486","5264","2710","89","20988","4431","366","215"
"24012",{9FEF06FB-4B7F-4B89-A164-6A0143ED1E8E},"24012",Berthier--Maskinongé,Berthier--Maskinongé,QC,"20131005",,"2013","98590","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24012&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24012&lang=f#descrip,BQ,"37.619334920000000","21200","56354","21200","5812","1008","154","7796","19698","428","258"
"24011",{5737F403-FDED-41DD-9AF2-52541A52D16B},"24011",Beloeil--Chambly,Beloeil--Chambly,QC,"20131005",,"2013","109955","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24011&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24011&lang=f#descrip,BQ,"50.464815080000001","35068","69490","35068","4305","3255","0","16059","10086","512","205"
